source,functions,application
DG-Lux Plus,reinforce-slab; reduce-weight; enable-handling; provide-strength,kitchen countertops and tabletops
Diamond Board,provide fire resistance; offer sound insulation; enhance moisture resistance; ensure robustness; allow easy cutting,moisture-resistant drywall for wet areas
Diamond Polished Concrete,mechanical-polishing; high-gloss-finishing; durable-surface,industrial and public building flooring
DIBOND®,provide rigidity; offer strength; enable easy processing; ensure durability,signage and exhibition displays
Dichrolam,diffract-light; reflect-color; simulate-water-waves,color-changing table tiles
Diggels,recycle-nonrenewable; process-new products; return-demolished materials,kitchen worktop
Digital Dawn,emulate-photosynthesis; monitor-light levels; trigger-growth; illuminate-blind,reactive window blind
DigitalPrint – Serie Metalli,reflective-surface; flame-retardant-properties; moisture-resistant-coating,interior decorative wall panels
Dinamica Classica,breathable-fabric; washable-fabric; wrinkle-resistant-fabric,upholstery for furniture
Dinxperlo,filter-nonmetallic particles; screen-doors and windows; weave-custom panels; weld-fabricated items,woven mesh for water treatment
Dipline,hold-lamps; match-requirements; go-back; tested-connectors,interior lighting panels
Direx,print-brilliant; print-sharp; coat-laminated,laminated printed panel for interior use
Discarded Firehose,withstand-tensile forces; resist-water; resist-UV radiation; resist-chemicals,woven wall coverings
Discarded tampon fabric,recycling-yarn; spinning-fabric; weaving-textile,curtains and linings
DISPA®,provide-flatness; offer-rigidity; enable-printing; support-die cutting; facilitate-processing,indoor promotion display boards
Dissolvo,dissolve-water; print-on; coat-with; laminate-with; emboss-with,water-soluble pressure-sensitive labels
Ditra 25,act as substrate; provide load-distribution; serve as water barrier; allow easy removal,underlayment for problematic flooring substrates
Divine (Dischroic) Tiles,shift-colour; bend-light; provide-depth; add-colour-variation,decorative wall tiles
Division & Growth glass tiles,create-patterned tiles; fuse-coloured rods; design-custom shapes,decorative wall tiles
Dofine stucco,reduce-noise; provide-acoustic-effect; create-abstract-structures; apply-colourful-finishes,acoustic wall panels with integrated speakers
Doluflex,provide stiffness; reduce weight; allow bending; enable shaping,lightweight sandwich panel for structural components
Domino,provide flooring; resist humidity; offer durability,heat-treated wood flooring for commercial spaces
Domsteen brick,prevent-demolition waste; reuse-building materials; provide-aesthetic properties; ensure-long life,sustainable building construction
DORSUM®,customize-embossments; apply-lacquers; create-patterns,custom embossed furniture surfaces
Doschawol,eliminate gases; act as barrier; require energy,flame-resistant insulation material
Dot concrete,transmit-light; provide-privacy; create-unique-patterns,translucent separation wall
Dot Show,linkage-bowls; integrate-hooks; create-lamp; design-room-divider,modular lighting system with bowls
Double Face,provide-transparency; enable-flexibility; allow-3D deformation,transparent decorative curtains
Double Vision Composition,transmit light; resist UV-radiation; withstand mechanical loads; remain waterproof; provide scratch resistance,high-end kitchen and bathroom furniture
Drapilux Air,neutralise pollutants; purify air; reduce allergens; break down odours; produce catalytic reaction,flame-retardant wall coverings
Drapilux Bioaktiv,reduce-pathogen growth; provide-antimicrobial protection; enhance-room hygiene; prevent-allergies; reduce-odours,hospital decorative textiles
Dream bonding technology,decorate-garments; cover-seams; customize-trimmings; create-labels; enhance-performance,decorative adhesive tape for garments
Dreamfield,protect-nutrients; release-fragrance; contain-substances; prevent-oxidation; extend-lifespan,fragrance-releasing textile
Dreamglass,change state; reduce luminosity; block UV rays; allow light,smart window for privacy control
Dreamshape,shape-body; compress-zone; cut-easily; fray-resist,compression sportswear
Dredged sediment concrete,reduce CO2 emissions; create circular concrete; utilize waste stream,water passing tiles
DreenDesign Collection,enhance-character; create-patterns; stimulate-observation; add-dimension,architectural paving slabs and floor plates
Drenth Metal Weaving,filter-nonmetallic particles; transport-industrial products; weave-fabrics,industrial filtration and transport mesh
Drenth Plastic Weaving,weave-cloth; filter-material; transport-product,industrial filtration fabric
Dripping,create-texture; provide-visual-effect,decorative wall tiles with relief patterns
Drop Papers,marking-indoor; printing-inkjet,fire-resistant indoor signage
Drop Stich Fabrics,produce-fabrics; keep-layers-apart; protect-clothing; resist-fire; resist-abrasion,inflatable docks and boats
Droplet,cast-designs; hand-carved-customize; install-art,custom wall surfaces with artistic designs
Droptec,absorb-shock; provide-drainage,lightweight shock absorbent mats for landscaping
DRT Special Items,create seamless floors; provide anti slip; enhance aesthetic appearance; offer high chemical resistance; enable compatibility with floor heating,design flooring for public buildings
Bio-Thermoplastic elastomer,provide flexibility; offer tensile strength; enable injection moulding; allow extrusion; ensure recyclability,sustainable packaging solutions
Drystack brick system,enable assembly; facilitate reuse; reduce waste; allow disassembly,modular brick construction system
Dual Stencil Process,improve-grip; provide-lightweight; offer-flexibility; enhance-traction; prevent-abrasion,athletic shoe sole
Ductal,flex-ductility; withstand-bending; resist-abrasion; provide-durability; self-heal-sealing,thin architectural facades
DuFLEX lightweight panels,increase-strength; reduce-preparation; ensure-stability,lightweight structural panels for aerospace
Duho-Tex,press-noun; heat-noun; customize-noun,decorative wall panels
Dukta Flexible Wood,create flexibility; provide acoustic benefits,acoustic wall panels
Duotec,fastening-system; attaching-panels; repositioning-material; distributing-forces,fastening façade panels to buildings
Duotone Coloured Glass,mixing-colours; coating-finishes; creating-combinations; allowing-designers,decorative glass panels for interior design
Duplicor® biobased composite,save weight; build circularly; recycle material; provide fire safety; insulate effectively,lightweight sandwich panels for building construction
Durabella Palladiana,recycle-flooring; combine-design; create-bespoke,regenerative terrazzo flooring
DURABELLA seamless terrazzo,provide-floor; enhance-aesthetics; resist-cracking; allow-seamless-installation,entranceway flooring solution
Durabella x Aectual,create floor; offer customizable designs; integrate storytelling; add bespoke branding; shape special places,3D-printed seamless terrazzo flooring system
DuraBook,withstand water; resist stains; enhance printing; create smoothness; provide strength,tear-resistant printed documents
Duralmond,provide aesthetic characteristics; offer water-repellent properties; resist insects; deliver thermal insulation; provide acoustic insulation; ensure fire resistance,biodegradable furniture components
Duramique mineral flooring,absorb-co2; provide-warmth; resist-wear; create-seamlessness; reduce-shrinkage; eliminate-cracking,seamless flooring for industrial spaces
Durapor & Duraseal,provide-decorative surface; resist-solvents; resist-scratches; enable-digital printing,decorative printed panels for interior and exterior use
DuraPulp,provide strength; impart dimensional stability; enhance folding resistance; reduce water absorption,thermo pressed structural components
Durapur,provide-non-slip surface; offer-high mechanical strength; ensure-wear resistance; deliver-thermal insulation; resist-chemical damage,self-leveling flooring for hospitals
Duraskin,provide protection; offer sealing; enable flexibility; resist weather,flexible tensile fabric structures
Durasteel,provide fire resistance; resist moisture; withstand impact; enable flexible installation; prevent flame spread,fire-resistant building facade panels
Durastone Flexible Polished Floors,create-floor; apply-seamlessly; resist-wear; provide-durability,seamless floor finish for public buildings
Durat Palace,provide tactile surface; create color combinations; enable easy fabrication,kitchen worktops and table tops
Durat®,reduce-waste; create-illusion; provide-sustainability; ensure-food-safety; offer-easy-maintenance,kitchen worktops and sanitary counters
Duro loam plaster,provide-thinner layer; apply-quickly; combine-with heating systems,interior wall finish with heating integration
Durodeen,replace-wood; combine-wood; treat-with-tools; sand-down-surface,furniture components
DuroGrit,provide-naturallook; offer-UVresistance; increase-wearresistance; make-water-repellent,outdoor wood oil for terraces and garden furniture
