source_clean,function_1,function_2,function_3,function_4,function_5,function_6,application_clean
ekotex hygiene,provide anti bacterial properties,ensure higher hygiene standards,offer cost saving benefits,achieve seamless surfaces,retain active antibacterial properties,,hygienic wallcovering system for healthcare environments
ekotex magnet whiteboard,transform noun,create noun,hang noun,apply noun,,,presentation wall for meetings and brainstorming
ekotex opposites,provide durability,create wall protection,enhance aesthetic appeal,offer sustainability,withstand wear and tear,,high end wallcovering for commercial spaces
ekovilla cellulose insulation slab,regulate moisture,prevent heat loss,dampen noise,provide fire resistance,,,eco friendly insulation panels for buildings
elastic conductive tape,conduct electricity,provide elasticity,monitor physical condition,,,,smart wearable technology for health monitoring
elastolite,emit light,provide flexibility,resist water,enable printing,allow durability,,keypad lighting in mobile devices
elceestone,provide colours,resist scratch,mill wood,,,,interior and exterior surfaces
electric plaid,combine woven electronic circuits,add colour change,create interactive textiles,,,,interactive textile artworks
electrical heating textile,provide heat,enable flexibility,ensure durability,,,,mobile heating garment
electroluminescent panel,emit light,illuminate uniformly,increase brightness,resist vibration,allow cutting,,animated retail display panel
electroluminescent textiles,illuminate electrode,blend colours,create pattern,add texture,,,interactive light emitting clothing design
electroluminescent wire,glow alternating current,provide illumination,coat insulation layers,,,,decorative lighting for events
electrolycra,conducting wires,soft substitute,heating garment,,,,heated gloves
electronylon,provide strength,conduct electricity,,,,,wearable electronic sensors
elements,provide non slip surface,enhance aesthetic appeal,resist weather effects,offer durability,facilitate easy maintenance,,large format floor and wall tiles for commercial spaces
elite lava,transform wall,create decorative border,frame zones,,,,indoor decorative wall mosaic
ellisse,diffuse light,create effects,increase impact resistance,custom fabricate,,,shower doors and office partitions
elm zero,reduce co2 footprint,substitute conventional inputs,ensure optimal mechanical properties,enable recycling,,,ready mix concrete with net zero co2 footprint
eltec,provide rigidity,allow easy processing,enable bonding,,,,custom made glossy furniture panels
embossed leather,provide upholstery,create wall coverings,form leather tiles,,,,upholstered furniture for luxury interiors
embossed printed canvas,create embossed effect,print hyper realistic results,glue layers together,cut foam rubber,,,decorative wall art panels
embrace,shrink labeling,uv blocking,chemical resistance,printability,,,full body shrink labels for beverage containers
embroidered wool,apply embroidery,create patterns,provide dirt repellant,,,,magnetic carpet tiles
emotex,reproduce surface textures,apply patterns,resist corrosion,resist discoloration,,,decorative surface finishes for consumer electronics
enameled steel,resist corrosion,resist heat,provide easy cleaning,harbor germs,,,kitchen appliances and bathroom partitions
end grain veneer,seal open areas,process veneer,glue cores,splice rectangles,,,furniture surface panels
endless life,reshape surfaces,redefine surfaces,spray on application,combine materials,give new life,,furniture restoration and enhancement
engobed brick,cover noun,join verb,form verb,,,,one story high prefabricated parts for building construction
enkagrid,stabilize soil,absorb dynamic loads,provide cost effective solutions,,,,soil stabilization in road construction
enkair,replace foam,provide pressure distribution,conform body,facilitate air flow,allow washing,,precision engineered cushioning materials
environ biocomposite,utilizes bio based technology,offers warmth feel,cuts sands routes finishes,repels stains moisture,emits no vocs,,commercial and residential furniture
environmental tulle and power nets,create basis,meet requirements,combine textiles,offer colours,,,knitted lingerie and underwear fabrics
epdm membrane,provide waterproofing,resist ozone,withstand uv radiation,accommodate building movements,,,commercial roofing system
equitone linea,play with light,highlight raw texture,resist weather,provide fire resistance,,,3d shaped façade system
equitone materia,accentuate noun,render noun,resist noun,,,,through coloured facade system
equitone natura,displaying texture,providing fire resistance,offering weather resistance,,,,façade panels for buildings
equitone pictura,provide façade,offer architectural finish,resist weather,resist fire,resist uv,,customized building façade panels
equitone tectiva,provide facade,express texture,resist weather,resist fire,,,exterior building cladding panels
erlus titan silver,assure resistance,play light,,,,,roofing tiles
esb plus elka strong board,meet norms,process board,certify material,,,,sarking board for roof construction
esd static fabric,create stretchy fabric,control static,wash easy,wear tough,,,computer cover
esprit nouveau,glazed noun,polished noun,fired noun,,,,wall and floor tiles
essemplex,exhibit shape memory,process into memory shapes,reconfigure molds,form custom grips,reshape without degradation,,customizable reusable molds
essentials metal art,provide decorative function,resist scratch,suit interior decoration,suit interior furniture,,,interior wall cladding with metal finishes
essentials wood,provide veneer,weave designs,resist scratch,offer structure,,,vertical wall panels in reception spaces
etaproof,breathable fabric,weatherproof fabric,durable fabric,,,,outdoor jackets for sports
eterno unico chrono terrazzo,enrich fragments,increase sustainability,create colour harmonies,bond aggregates,pour in place,,flooring finish for interior and exterior
etna,create tile,glaze finish,resist scratch,maintain ease,,,interior wall and floor tiles
ettlin lux tec,create 3d effect,influence light distribution,dictate direction,provide luminosity,enable sensor function,,dynamic light display panel
eucalyptus cloeziana timber,replace nonrenewable hardwood,resist shipworm,suit structural applications,dry easily,,,transmission pole for electrical lines
eucalyptus grandis cross laminated timber clt,enhance load bearing,reduce warping,reduce twisting,reduce splitting,,,cross laminated timber panels for construction
eurodekor,provide durability,offer aesthetic variety,enable easy maintenance,,,,kitchen cabinetry and furniture
eurolight,reduce weight,increase stability,allow creative freedom,,,,tables and softforming elements
europlex o,manufacturing orthopaedic devices,thermoforming low temperatures,machining standard tools,resisting chemicals,transmitting x rays,,orthopaedic device components
europlex ppsu,provide high impact strength,offer chemical resistance,allow easy sterilization,,,,sterilization cases for medical use
evalon solar,produce electricity,reduce reflection,cover roof,,,,solar roof covering
evans brown wallcoverings,create wallcoverings,print realistic,resemble natural materials,provide ease of maintenance,,,realistic wall coverings for interiors
